Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Serbia,SRB,73.11,86.17,77.69,55.46,95.09,94.24,85.62,69.73,93.03,85.53,62.46,69.72,78.63,59.39,42.03,41.79,5.6,17.49,5.8,10.399,12.2842,91.1825,94.7966,94.6429,0.1625,100,4.96604,28.3455,1.13,0.876507,4,11.3667,98.8415,99.1686,96.2347,1.01317,2.524,130.235,67.0568,0.83051,89.75,20.3084,439.414,65.21,2.68126,41.786,60.49,549.889,7.33075,28,0.588683,3.7775,0.697354,4.75095,26.8,5,36.2,41,15.12899971,7.3,1.69962,2.58261,1.93873,0.54,13,2,40
Sao Tome and Principe,STP,61.81,68.25,62.88,54.30,83.23,58.81,57.45,73.54,82.22,43.48,53.63,72.20,88.75,59.50,57.39,11.55,13.5,109.323,33.8,15.987,184.113,79.6971,90.5496,40.1028,62.7903,65.4405,,108.207,3.44,0.954937,,15.904,90.1431,96.9959,89.7067,1.15,2.09713,89.0636,28,0.0678,44.7667,18.4524,408.029,55.54,2.05626,52.9356,26.32,343.921,17,34,0.892369,3.7898,0.814155,4.59171,35,,53.8,46,,4.2,2.51984,2.09283,2.51647,,6.35,0,0
Suriname,SUR,67.01,76.92,65.10,59.02,91.21,80.75,75.28,60.43,73.98,66.28,57.50,62.64,87.59,71.20,56.56,20.72,7.9,61.184,20,8.411,79.4993,94.6809,67.1012,79.2192,18.0684,87.1763,3.44606,15.624,10.68,0.854057,,22.827,92.8687,94.8122,78.5296,1.31708,2.21611,144.507,45.4,0.33898,80,19.4894,444.112,56.373,2.67236,45.7465,7.53,407.398,7.22141,34,0.803782,3.81478,0.850405,4.54018,11.4,,72.1,41,36.14279938,5.5,2.50717,2.51834,2.56464,,10.14,0,0
Slovakia,SVK,80.34,93.58,82.07,65.36,96.77,98.63,94.30,84.63,90.38,83.82,68.82,85.26,89.49,76.83,55.18,39.97,3.1,7.059,5.9,7.028,25.7088,97.9256,98.4773,98.9282,0,100,5.99433,2.7955,0.88,0.924227,2,9.27213,,,90.9674,1.0107,2.37798,128.391,80.4759,0.54237,96.8333,20.9068,379.412,70.369,3.12939,46.8476,89.95,258.233,17,36,0.943539,3.03684,0.900474,4.82652,12.2,1,75.1,50,36.25320053,6.6,2.37575,2.44752,2.96822,0.63,13.98,3,20
Slovenia,SVN,85.50,94.69,88.42,73.38,97.55,99.38,96.44,85.39,98.88,85.27,80.38,89.16,95.59,81.10,64.26,52.58,2.5,6.065,2.3,7.063,15.561,99.5233,98.9663,99.1073,0,100,6.39974,2.91547,1.21,0.957349,2,7.02907,,99.2896,109.77,1.00287,3.79759,114.818,75.4985,0.72881,90.3,23.6021,236.265,80.496,3.03956,22.0413,88.5,284.729,17,39,0.909836,3.86771,0.975101,4.77651,10.5,1,78.6,61,49.31999969,4.5,2.34997,2.74158,3.31188,0.79,14.19,2,60
Sweden,SWE,88.99,95.86,89.90,81.20,98.99,99.84,97.56,87.06,92.09,87.96,86.50,93.06,95.98,88.66,81.26,58.88,2.5,3.639,2.9,1.216,18.1557,100,100,99.3035,0,100,6.55959,0.764862,1.15,0.967201,2,4.08633,,99.9934,140.437,1.14034,3.25587,127.503,89.6509,0.76271,85,24.3055,194.089,83.328,3.70164,6.8011,98.49,118.792,12.0528,40,0.969361,3.71959,0.969539,4.7063,6.4,1,80,84,78.86190033,1.8,3.33145,3.08078,3.07832,0.94,15.12,23,40
Swaziland,SWZ,51.21,60.54,54.25,38.84,67.40,64.65,62.78,47.34,71.19,37.89,41.31,66.59,35.77,70.81,33.42,15.36,19.6,75.259,70.4,25.587,709.146,67.6261,57.1196,58.0258,13.7118,65.7902,3.74,76.6083,8.16,0.522758,3,40.9084,83.0983,76.2815,67.0429,0.99369,1.56176,74.0825,28.5735,0.25424,21.8,15.8933,629.034,51.2,1.8254,74.3387,64.23,283.246,4.03811,1,0.416064,1.97183,0.594977,1.15425,19.2,7,80.5,39,17.97970009,3.1,1.02936,1.61966,0.428621,0.08,10,0,0
Chad,TCD,28.20,30.76,32.45,21.39,45.63,16.28,25.11,36.01,27.03,26.41,37.29,39.05,47.71,16.37,19.17,2.32,32.5,526.635,127.3,36.145,592.969,42.5376,18.9101,9.54839,82.3647,8.8309,2.24856,177.274,9.02,0.140924,5,20.3609,22.3116,78.9185,22.6831,0.46151,0.869164,43.1136,5,0.15254,38.5714,17.0438,438.735,37.36,0.60756,130.231,0,974.706,11.5753,4,0.380067,2.35124,0.307152,4.37259,91.5,45,19.7,20,9.744299889,7.7,1.16016,0.705601,0.395146,,1.63,0,0
Togo,TGO,47.78,48.51,51.49,43.35,69.77,28.24,38.96,57.08,70.26,44.67,44.44,46.58,69.22,43.29,53.13,7.77,11.5,269.784,75.7,19.557,499.509,62.8176,24.3987,13.9485,74.7197,46.9284,,167.8,9.14,0.617653,3,22.1085,63.7456,86.6822,55.071,,3.03303,72.3791,11.31,0.38983,51.8,16.5522,534.798,45.832,2.25234,130.782,0,735.6,16.7392,18,0.784012,3.82366,0.342002,4.23317,64.6,16,35.5,32,12.5557003,4.9,2.39112,2.20275,2.96968,0.13,4.19,0,0
Thailand,THA,67.35,80.32,75.80,45.91,91.11,90.58,88.88,50.73,86.80,65.05,70.02,81.34,39.99,63.76,41.58,38.33,9.5,27.852,12.2,13.036,83.6803,98.2311,66.6522,95.0113,0.45826,100,5.18193,11.5258,3.51,0.191965,3,27.2994,92.8683,94.6944,120.632,0.96055,1.74057,173.777,47.505,0.59322,51.4286,23.2767,282.057,68.675,2.06707,33.587,77.05,352.696,13.1631,6,0.126044,3.02172,0.224671,3.21596,51.4,11,90,37,32.71030045,8.2,2.55149,1.87425,1.24328,0.54,10.09,13,20
Tajikistan,TJK,53.09,73.58,57.64,28.04,76.75,80.38,74.17,63.03,81.94,40.63,49.44,58.56,28.91,51.62,11.24,20.38,30.1,34.912,43.1,28.413,82.0646,74.1397,60.3262,95.4921,0.09028,100,3.68365,65.2154,1.44,0.219663,3,8.74427,,98.8896,87.4407,0.89897,0.87157,107.614,20.47,0.20339,18.3333,19.5097,469.252,56.544,0.900698,112.644,58.85,561.409,10.8773,1,0.156593,1.08014,0.33084,2.871,43.3,13,56.3,21,1.119899988,7.1,0.46334,0.132797,0.42687,0.26,11.78,0,0
Timor-Leste,TLS,55.11,60.00,59.44,45.90,66.54,53.64,55.20,64.60,65.49,53.76,49.04,69.46,73.54,51.57,45.54,12.93,26.9,270.799,49.7,46.108,133.586,70.2233,41.7627,44.0111,32.6261,63.3941,3.04513,101.801,3.69,0.897758,4,13.868,58.309,82.3599,74.3181,1.07479,1.20504,117.613,25.2463,0.27119,57,20.0438,388.938,46.401,1.05746,44.5192,37.28,,13.467,32,0.755079,3.4905,0.502504,3.72109,65.2,8,47.2,38,,6.2,1.78163,1.86946,2.76187,,6.92,0,0
Tunisia,TUN,73.07,85.50,74.50,59.20,94.27,92.53,89.83,65.37,83.38,73.20,66.36,75.06,85.31,72.16,49.01,30.31,5,29.928,13.6,8.396,33.6856,94.2302,86.8206,93.1278,2.69582,100,5.09783,0.396046,3.05,0.828188,3,24.6177,79.0364,99.7608,92.8699,1.11114,2.24979,125.246,49.6,0.69492,71,21.7235,313.95,66.523,2.20669,51.8421,88.17,318.551,5.44122,30,0.83011,2.91205,0.964652,4.82548,20.9,2,74.7,42,4.193500042,7.4,2.22957,2.64684,3.05137,0.52,9.1,2,20
Turkey,TUR,66.81,83.65,73.61,43.18,95.48,98.14,86.04,54.93,85.03,65.03,68.99,75.37,43.07,63.03,24.33,42.28,2.5,15.528,12.7,9.551,14.9362,98.8994,98.8994,96.3727,1.24934,100,4.40248,1.1577,4.3,0.402866,4,11.6289,95.6014,94.9729,103.05,0.97383,0.911781,94.4025,58.3477,0.62712,44.4,23.4089,276.831,67.559,1.84341,40.6993,92.21,250.039,0.230238,16,0.172796,2.18463,0.371121,3.0961,27.6,10,61.6,40,22.95660019,10,0.394253,2.59752,0.72088,0.36,8.76,26,40
Tanzania,TZA,52.01,52.12,58.84,45.07,60.90,44.51,42.49,60.59,65.14,51.30,48.61,70.33,68.12,44.32,57.37,10.48,32.3,351.762,56.7,32.67,454.027,50.1453,34.8786,23.5341,15.6605,32.8,3.14001,133.89,7.01,0.69467,3,20.7059,77.8872,79.0448,31.6738,0.91533,2.67951,72.0579,13,0.59322,57.5,17.1741,464.519,49.068,2.29319,59.9356,54.03,640.971,16.9025,22,0.651369,3.31131,0.713359,3.22325,80,20,55.9,36,6.257699966,4.9,3.01072,2.3118,3.10507,0.03,7.06,0,0
Ukraine,UKR,69.30,81.48,69.38,57.04,93.74,90.59,85.79,55.80,90.54,73.46,56.12,57.41,73.01,66.01,35.61,53.52,2.5,21.512,9.1,16.54,31.6961,97.7318,66.0196,95.9378,0.00385,100,4.48535,6.63139,4.36,0.511513,4,14.45,99.9743,92.7681,96.786,0.97825,2.58748,135.196,52.4818,0.74576,65,19.0517,577.017,62.941,2.67244,73.8722,78.76,980.445,4.3939,26,0.603211,3.096,0.63243,4.68893,16.7,7,69.2,30,9.272999763,6.4,2.40858,0.345424,2.13654,1.5,14.69,8,10
Uruguay,URY,79.40,87.13,78.88,72.17,95.51,98.46,94.62,59.94,87.62,82.83,70.41,74.67,94.75,78.90,66.88,48.16,2.5,23.828,9.2,8.939,39.3406,99.2491,99.6164,95.6749,0.56162,100,6.02886,1.6827,8.42,0.940779,4,17.4625,98.5239,97.7591,111.648,1.13702,2.26576,148.569,66.4,0.71186,90.625,21.9961,356.538,64.977,3.42263,22.869,58.85,489.906,8.32631,40,0.950233,3.66132,0.939364,4.71253,22.9,11,89.5,70,78.90730286,2.2918,2.01041,2.18805,3.10704,0.28,12.08,2,80
United States,USA,84.78,90.85,84.33,79.16,97.73,99.40,95.94,70.34,91.87,89.60,71.97,83.89,92.15,86.00,61.49,76.98,2.5,29.634,6.5,1.89,24.7683,99.2004,98.7012,99.9696,0,100,6.24076,0.165685,4.88,0.93436,3,13.5975,,97.1951,97.1848,1.0104,2.32856,122.876,76.1767,0.89831,91,23.3246,301.527,72.551,2.26291,19.113,92.57,385.859,10.0718,33,0.92821,3.7844,0.950258,4.69806,6.2,3,82.8,75,76.64630127,6.1,2.46083,2.25096,2.82313,1.86,15.06,357,20
Uzbekistan,UZB,59.55,82.18,55.87,40.60,90.60,90.57,86.25,61.31,92.10,50.26,50.83,30.30,33.85,66.48,34.48,27.57,6.3,27.828,24.1,15.364,51.5002,91.4586,72.1115,100,0,100,,25.1298,2.99,0.436779,3,16.2051,99.9838,99.2317,93.0371,0.9871,2.4236,73.9833,46.7913,0.67797,15,17.9243,633.059,60.829,2.38963,107.947,0,1398.9,3.36816,1,0.245802,1.89226,0.366909,2.50186,25.5,5,83.5,22,,6.9,1.96117,1.49781,0.739281,,12.97,0,0
Yemen,YEM,37.29,50.36,40.84,20.67,67.69,58.08,52.17,23.48,50.52,34.70,35.22,42.90,15.62,48.91,13.29,4.87,28.8,208.326,55.3,43.727,103.099,70.3589,41.6894,59.6827,30.0099,71.6423,1.18931,66.9765,6.67,0.071915,5,48.6608,,83.3168,51.0067,0.72721,0.420675,59.5741,24.5792,0.13559,37.8333,17.6947,627.969,44.814,0.242905,127.435,0,343.987,0.775324,1,0.108108,0.256647,0.101101,2.09457,36.2,17,52.4,16,,9.5,0.576632,0.493392,1.26205,0.11,2.35,0,0
South Africa,ZAF,66.00,69.16,66.52,62.33,77.57,84.43,76.37,38.28,83.35,67.99,48.19,66.55,79.35,75.55,54.40,40.00,4.6,200.249,43.3,18.936,496.75,84.6973,90.2582,73.1288,4.91891,84.2,3.92001,19.9513,34.27,0.755871,4,40.9683,94.3679,91.6151,102.754,0.98513,0.780688,147.125,54,0.55932,59.6667,19.2182,472.949,53.621,1.0092,61.0079,87.8,777.878,7.02766,32,0.801918,3.65666,0.778086,3.43841,9.2,3,78.8,43,56.85229874,6.4,2.15175,2.45004,2.30277,0.11,11.48,13,40
Zimbabwe,ZWE,45.26,44.38,55.77,35.64,55.65,46.43,45.60,29.85,77.71,44.02,34.95,66.38,56.00,46.30,25.31,14.95,44.7,370.38,56.4,26.856,615.316,66.5631,29.3724,38.5886,39.0998,38.1451,3.08986,119.82,6.74,0.243612,5,42.0372,88.6934,89.625,47.1138,0.98049,2.77517,79.7439,23.12,0.28814,40.8333,15.4003,610.133,46.669,0.835599,72.6267,75.44,942.595,16.9558,10,0.335715,3.82118,0.464138,3.51688,74.5,26,85.3,22,4.518599987,7,1.54524,0.809313,0.963094,0.03,10.2,0,0
Azerbaijan,AZE,,83.56,,34.63,91.71,86.39,88.96,67.17,,74.98,47.52,65.96,36.15,49.84,16.95,35.58,2.5,24.122,30.9,13.409,43.0505,84.3779,76.8439,89.3491,0.34793,100,5.49145,24.031,2.45,0.516033,3,8.51019,99.7901,99.2054,,,0.494888,104.767,78.2,0.67797,54.2,19.1537,532.795,58.807,0.743623,89.3102,76.03,455.501,8.6154,3,0.215902,1.9042,0.315177,3.14392,53.5,8,37.9,31,0.860599995,6.2,0.710861,0.47238,0.552802,,13.16,2,10
Bahrain,BHR,,,80.36,41.18,97.16,,95.35,53.06,93.48,92.03,68.05,67.89,38.98,70.60,14.13,41.01,,21.196,7.6,2.75,29.8351,100,,100,,100,6.15504,1.24331,0.54,0.056798,4,15.7443,94.5568,98.7834,103.854,1.00814,2.70406,210.141,98,0.74576,,19.992,324.907,68.219,3.20758,62.7121,96.54,590.382,2.69248,2,0.064177,1.23634,0.464954,4.60095,0.9,4,61.6,36,,8.7,0.865105,0.858598,0.220398,0.33,10.53,2,60
Bosnia and Herzegovina,BIH,,86.70,,49.07,95.38,95.62,84.07,71.76,,67.23,64.16,49.39,77.27,52.57,42.92,23.53,2.5,6.702,6,14.067,10.6021,97.6602,89.7845,94.7821,0,100,4.82016,34.5466,1.5,0.934396,4,7.43259,96.9918,,,,2.57136,96.7933,54.7371,0.50847,63.75,21.0004,409.721,65.387,2.61897,55.9015,0,765.595,1.3772,21,0.71735,3.42429,0.727613,4.80949,20.4,17,29.5,38,9.741900444,6.9,1.90037,2.3397,2.17698,,11.3,0,0
Gabon,GAB,,72.26,,46.44,78.97,76.42,72.88,60.77,,52.30,51.90,65.31,70.32,48.71,46.04,20.70,7,215.228,47.4,15.963,346.918,87.5409,85.4719,40.9304,6.53786,91.3955,2.87874,20.8603,9,0.870101,3,25.4258,82.2838,,,,2.40753,149.637,48.0523,0.0678,49.45,17.6025,419.82,50.549,2.50873,70.5387,0,232.021,15.2418,4,0.84928,3.84614,0.760328,3.68712,31.7,22,39.8,32,8.833000183,3.5,1.99153,1.92576,1.91373,0.45,10.16,0,0
Guinea-Bissau,GNB,,40.68,,33.86,57.92,43.63,15.25,45.92,,31.85,25.72,41.52,59.79,39.21,33.07,3.36,28.3,346.421,88.1,26.491,602.866,69.1966,19.0205,21.466,29.9397,14.6558,,229.668,9.17,0.484481,4,27.2717,45.5812,72.2978,,,1.07027,70.8177,3.76141,0.16949,31.5,14.6453,722.763,38.905,0.306448,147.202,0,841.342,16.4296,16,0.635802,3.81955,0.299284,3.20208,60,22,42.9,17,,5.2,1.50825,0.985346,1.577,,2.36,0,0
Equatorial Guinea,GNQ,,60.69,,28.53,69.47,58.69,66.87,47.74,,32.61,52.72,69.55,30.25,41.25,28.83,13.80,,207.049,90.9,20.239,473.326,49.5901,32.5683,74.5379,5.1,67.8893,,65.9645,3.21,0.161829,4,19.7295,,44.554,,,0.97665,47.1269,23.78,0.08475,,18.9988,319.039,53.179,1.33949,68.3696,52.51,584.139,17,1,0.131018,2.7449,0.147317,2.1858,23.9,26,27.4,17,,6,1.68635,1.07591,0.619783,,7.28,0,0
Haiti,HTI,,46.38,,34.89,61.62,43.73,31.24,48.94,,37.64,31.04,48.19,63.32,36.35,29.48,10.39,46.8,351.411,67,20.912,212.307,64.1743,24.5086,30.5438,34.8908,38.6902,1.43137,165.201,10.04,0.70349,4,29.3755,,,,,0.272227,59.9595,12.2326,0.13559,59.125,16.5508,734.011,41.143,0.646831,83.0236,0,496.248,0.268269,17,0.769641,2.87565,0.305586,4.32017,88.5,19,45.1,22,17.89690018,6.2,1.40093,1.34113,0.628185,0.04,6.9,0,0
Iraq,IRQ,,73.12,,40.03,80.17,87.43,90.52,34.39,,51.36,40.26,52.21,52.29,51.34,26.39,30.10,27.8,50.529,31.2,24.054,49.3034,86.0983,82.0641,85.6593,0,100,,4.14187,,0.361733,5,27.49,43.6833,,,,1.22112,81.1855,21.23,0.42373,56.5,17.4091,689.702,52.758,1.16563,120.97,70.21,573.209,1.46494,16,0.499621,2.14807,0.326131,3.91258,34.2,19,61.8,18,9.508999825,9.3,1.15864,1.3741,1.78486,0.63,7.88,2,
Jamaica,JAM,,80.08,,62.96,93.06,89.45,86.64,51.17,,67.17,60.97,82.19,87.64,71.83,66.38,26.00,8.4,46.285,15.3,6.413,38.0416,92.9185,80.8716,85.3737,0.70373,98.2043,4.79449,8.68331,43.21,0.776901,4,10.2154,,,84.0954,1.05249,1.35755,113.396,45,0.27119,89.5714,20.8502,410.76,61.327,2.30328,28.5304,76.99,407.445,14.4013,34,0.954726,3.86092,0.649138,4.69744,37.7,1,83.8,44,21.76609993,3.1,2.95115,2.92213,3.12907,0.56,12.81,0,0
Kuwait,KWT,,,82.28,52.69,97.37,,92.06,75.24,93.83,82.18,78.89,74.21,63.90,71.47,37.59,37.82,2.5,9.808,8.4,2.896,45.3396,100,,100,,100,5.51271,0.251048,1.78,0.779535,2,18.8303,95.6854,97.3912,97.5324,1.07912,3.74209,133.071,78.3674,0.64407,,22.7568,252.508,73.431,3.75955,67.9692,96.88,742.653,17,13,0.553376,2.56209,0.779692,4.09704,2,5,64.6,39,,4.4,0.671212,2.00374,1.87462,0.22,12.51,1,50
Libya,LBY,,73.17,,37.29,92.03,83.35,77.43,39.88,,46.10,58.65,41.61,33.56,54.98,40.23,20.41,,25.196,12.9,14.515,34.7798,96.75,41.2,99.7,,98.5367,2.84627,0.294518,2.49,0.200544,5,27.6779,,,,,2.2405,121.719,20.2722,0.10169,47.6667,20.5567,379.782,64.784,1.3932,71.9621,74.57,1718.37,0.211644,1,0.485964,0.898565,0.226873,3.10145,33.8,3,47,17,,7.8,0.859506,3.11512,2.46894,0.83,6.27,0,0
Maldives,MDV,,83.82,,37.83,90.72,85.47,90.32,68.77,,61.04,67.46,66.08,39.06,61.15,39.73,11.38,8.5,49.909,8.5,19.246,21.6843,97.882,42.9463,95.8688,0,100,,5.09545,0.85,0.53605,,9.46786,98.6101,99.2687,,,2.06651,189.858,59.0926,0.22034,59,22.2326,259.571,73.01,1.3704,43.328,39.76,298.212,1.16236,14,0.355271,0.849843,0.217454,3.75718,17.2,,53.8,33,,4.5,1.15167,1.80575,1.94385,0.04,7.6,0,0
Malta,MLT,,,87.11,,98.48,99.99,88.82,,90.31,84.33,81.22,92.58,,77.68,,24.81,2.5,4.828,6.8,1.264,19.1009,100,100,99.9614,0,100,4.91195,0.564827,0.96,,,4.06999,93.3074,97.8867,95.7285,1.04234,,123.936,77.2894,0.77966,,23.9655,213.603,77.726,,20.2463,100,214.772,17,36,,,,,8.9,,74.8,56,80.28399658,3.6,,,,0.6,11.59,0,0
Namibia,NAM,,60.97,,55.52,71.71,49.42,67.87,54.90,,55.85,55.67,75.32,83.46,72.03,51.82,14.78,28.8,116.555,45.2,20.539,448.703,78.7872,72.9723,33.8368,75.9128,51.7824,5.4712,75.8902,16.93,0.899128,3,32.5189,88.2746,91.1345,,,1.74683,107.269,31.0333,0.23729,62.6667,18.2506,412.195,56.005,2.59654,63.2741,69.91,469.044,17,30,0.838393,3.85995,0.750902,4.23153,29.3,5,77.3,51,29.25149918,5.5,2.45454,2.05295,2.42694,0.06,9.79,0,0
"Korea, Democratic Republic of",PRK,,60.57,,32.53,75.13,92.23,34.82,40.12,92.70,4.51,48.27,,3.62,68.82,33.50,24.18,40.8,78.512,20,30.526,45.4591,99.6246,89.8982,77.1347,0,39.2442,,175.126,4.41,0.075589,4,29.7355,99.9982,97.7928,92.988,1.01107,2.73186,14.2144,,0.01695,1.5,18.4917,625.231,56.574,1.90168,103.029,,,2.82155,0,0.01842,0.295905,0.023767,0.270587,21.7,0,85.5,17,,5.8,2.08586,0.713259,1.09478,,11.57,0,0
Somalia,SOM,,32.57,,27.07,41.05,25.42,23.98,39.82,,31.56,22.67,43.50,33.80,43.84,27.84,2.82,,823.567,132.5,29.98,684.437,40.0024,29.6613,16.1914,60.3505,29.8903,,212.577,5.56,0.346454,5,26.4386,,,,,0.289761,46.4663,1.88,0.0339,67.5,14.1466,669.913,27.183,0.555797,88.4663,3.96,,0,1,0.484512,0.701007,0.449785,2.45179,35,22,48.3,9,,9,1.1901,1.38984,1.9059,,1.98,0,0
South Sudan,SSD,,34.17,,,56.41,20.29,26.36,33.60,8.25,17.23,32.22,,21.47,,15.37,1.70,,367.87,90.7,31.988,693.523,50.4112,7.42183,10.3501,69.9607,8.94763,,165.25,13.7,0.096481,5,18.9112,26.8313,34.3398,9.88386,0.53695,0.232054,22.0755,,0.10169,33.6667,16.0048,456.723,35.717,0.085419,90.9392,,,14.0767,-2,0.153403,2.36357,0.148838,0.716367,,,15.3,12,7.005400181,9.7,1.06352,1.1468,0.06338,,1.19,0,0
Seychelles,SYC,,87.66,73.41,,92.64,97.37,89.06,71.56,92.79,63.20,62.67,74.98,75.82,,45.14,24.26,,29.813,14.3,9.042,98.0724,96.2509,94.5082,100,,100,4.97872,1.47397,2.15,0.841369,,17.2474,93.9542,99.7609,93.0201,1.06901,3.45113,161.159,56.5147,0.40678,53,19.7271,427.583,59.716,3.3936,35.08,26.32,243.969,13.7504,28,0.721886,3.20565,0.838132,3.63169,,,,60,,4.2,1.55981,1.95878,1.92168,,11.6,0,0
Turkmenistan,TKM,,82.06,,33.49,89.25,87.16,91.22,60.60,,35.87,48.26,42.83,22.61,62.37,18.90,30.09,5.5,10.881,51,10.68,48.8736,94.4546,55.6222,96.5671,0.09892,100,,0.692195,4.2,0.306358,3,8.57911,,,85.8197,0.9589,2.41006,151.434,17.9903,0.0678,14.652,18.8671,600.335,56.342,1.63228,99.7485,74.79,1467.8,3.20309,0,0.050754,1.41273,0.295418,1.83924,29.3,5,73.8,19,,6.3,0.608594,0.421301,0.607494,,14.01,0,0
Trinidad and Tobago,TTO,,82.53,,59.71,94.47,94.28,89.22,52.16,,79.25,62.28,78.36,89.18,69.45,55.89,24.32,4.8,68.004,18.5,1.459,49.0873,96.9406,92.1413,92.1465,,100,4.98546,0.489406,30.88,0.900439,4,17.695,,98.7335,,,3.36686,158.675,73.2969,0.44068,95,20.2046,468.924,58.882,3.41655,35.6555,70.83,593.974,16.854,33,0.87258,3.817,0.940976,4.29981,16.6,3,63.3,41,28.88150024,3.9,2.52076,2.2214,2.38564,0.39,13.28,0,0
Taiwan,TWN,,,,,96.07,,93.20,82.71,,82.69,79.01,82.29,94.40,,63.85,59.18,5.2,13.971,,4.613,34.7354,,,,,,5.78101,2.47342,0.82,0.955948,2,15.4191,,,,,3.81319,124.144,79.7452,,79.5,23.4792,278.496,72.776,3.70238,31.0031,71.26,,16.9992,37,0.91024,3.89136,0.959482,4.74066,,,,63,42.41500092,,3.03669,2.76418,2.73787,1.09,14.04,44,
Uganda,UGA,,48.17,,39.09,61.68,38.05,42.01,50.93,,49.02,41.40,62.64,60.57,39.20,38.23,18.37,39,220.919,53,28.591,549.295,38.9215,18.5623,19.151,6.99333,26.7,3.42904,135.407,11.84,0.476213,3,26.5125,70.1982,90.998,,,1.33871,55.0485,21.8762,0.49153,66.6667,16.4086,488.55,44.271,1.48073,97.6343,40.84,527.125,16.2197,11,0.649998,3.00794,0.742156,2.81773,77.5,23,50,26,10.38939953,8.6,2.13179,2.42395,1.38874,0.08,6.16,1,20
Vietnam,VNM,,79.28,,43.93,88.63,76.71,80.49,71.29,,63.22,57.22,68.11,56.42,59.47,43.02,16.79,10.7,17.993,21.6,18.816,64.2316,91.1918,39.6622,78.2374,5.00405,100,4.33895,42.6277,1.52,0.742477,2,27.2206,93.5204,99.4143,,,2.8233,127.526,46.5,0.69492,36.6667,20.172,422.013,61.837,1.71388,51.0354,33.06,554.762,14.1609,3,0.407092,2.42955,0.656153,4.67749,55.1,10,76.6,35,20.48590088,5.7,2.15461,1.16211,2.42221,0.22,9.65,0,0
Vanuatu,VUT,,65.85,51.68,,83.95,69.80,38.13,71.52,75.31,50.92,23.63,56.87,87.02,47.74,,17.82,6.9,147.892,27.6,22.416,160.583,90.5043,32.0349,53.4683,1.89793,57.82,,190.396,2.13,0.907124,,21.9729,,99.0436,54.8188,1.0576,1.82971,80.8437,24,0.20339,72,14.8827,1063.37,39.029,1.61028,57.2247,58.45,973.833,3.81132,33,0.88706,3.71481,0.815745,4.40882,71.9,,58.2,43,,,1.50872,2.81251,3.75077,,8.94,0,0
Zambia,ZMB,,47.50,,44.33,54.08,46.61,34.94,54.37,,49.15,35.27,63.32,74.94,48.67,42.13,11.60,45.9,173.964,63.4,40.007,700.311,61.2253,29.4136,31.1118,25.0032,27.2193,2.52094,154.459,5.85,0.525635,3,28.9582,83.0077,87.9074,,,1.01656,72.4293,25.5066,0.35593,59,14.9502,577.821,45.875,0.983362,84.3167,65.61,902.328,17,22,0.650611,3.83603,0.659759,4.32908,77.2,19,67.7,37,7.53429985,5.6,1.64636,1.86858,2.50066,0.04,7.75,0,0
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,97.869,93.7927,97.5435,,95.5701,,,3.94,,,,96.8226,99.9221,111.16,1.0176,,,93.5425,,,,,,,,,,0.39167,,,,,,,,,,,,,,,,,0,0
